name,address,type
th06::AsciiManager::AsciiManager,0x401000,function
th06::StageMenu::StageMenu,0x4010e0,function
th06::AsciiManager::OnUpdate,0x401140,function
th06::AsciiManager::OnDrawMenus,0x401250,function
th06::AsciiManager::OnDrawPopups,0x401290,function
th06::AsciiManager::RegisterChain,0x4012c0,function
th06::AsciiManager::AddedCallback,0x4013a0,function
th06::AsciiManager::InitializeVms,0x401410,function
th06::AsciiManager::DeletedCallback,0x4014d0,function
th06::AsciiManager::CutChain,0x401500,function
th06::AsciiManager::AddString,0x401530,function
th06::AsciiManager::AddFormatText,0x401650,function
th06::AsciiManager::DrawStrings,0x4016b0,function
th06::AsciiManager::CreatePopup1,0x401940,function
th06::AsciiManager::CreatePopup2,0x401a60,function
th06::StageMenu::OnUpdateGameMenu,0x401b80,function
th06::StageMenu::OnDrawGameMenu,0x402740,function
th06::StageMenu::OnUpdateRetryMenu,0x402870,function
th06::StageMenu::OnDrawRetryMenu,0x403060,function
th06::AsciiManager::DrawPopupsWithHwVertexProcessing,0x4031e0,function
th06::AsciiManager::DrawPopupsWithoutHwVertexProcessing,0x4033b0,function
th06::AnmVm::Initialize,0x403580,function
D3DXMatrixIdentity,0x403670,function
th06::AnmVm::AnmVm,0x403720,function
th06::Stage::Stage,0x403790,function
th06::Stage::OnUpdate,0x403810,function
th06::Stage::OnDrawHighPrio,0x4040d0,function
th06::Stage::OnDrawLowPrio,0x404180,function
th06::Stage::AddedCallback,0x404300,function
th06::Stage::RegisterChain,0x4044c0,function
th06::Stage::DeletedCallback,0x4045e0,function
th06::Stage::CutChain,0x404650,function
th06::Stage::LoadStageData,0x404690,function
th06::Stage::UpdateObjects,0x404860,function
th06::Stage::RenderObjects,0x404970,function
th06::AnmManager::ExecuteAnmIdx,0x4051b0,function
th06::BombData::BombReimuACalc,0x405260,function
th06::BombData::BombReimuADraw,0x405c10,function
th06::BombData::DarkenViewport,0x406020,function
th06::BombData::BombReimuBCalc,0x406160,function
th06::BombData::BombReimuBDraw,0x4065e0,function
th06::BombData::BombMarisaACalc,0x4066f0,function
th06::BombData::BombMarisaADraw,0x406b10,function
th06::BombData::BombMarisaBCalc,0x406e70,function
th06::BombData::BombMarisaBDraw,0x4071b0,function
th06::EclManager::Load,0x407340,function
th06::EclManager::Unload,0x407400,function
th06::EclManager::CallEclSub,0x407440,function
th06::EclManager::RunEcl,0x4074a0,function
th06::EnemyEclInstr::MoveDirTime,0x40abe0,function
th06::EnemyEclInstr::MovePosTime,0x40ad10,function
th06::EnemyEclInstr::MoveTime,0x40ae80,function
th06::EnemyEclInstr::GetVar,0x40afb0,function
th06::EnemyEclInstr::GetVarFloat,0x40b380,function
th06::EnemyEclInstr::SetVar,0x40b3c0,function
th06::EnemyEclInstr::MathAdd,0x40b420,function
th06::EnemyEclInstr::MathSub,0x40b4d0,function
th06::EnemyEclInstr::MathMul,0x40b580,function
th06::EnemyEclInstr::MathDiv,0x40b650,function
th06::EnemyEclInstr::MathMod,0x40b700,function
th06::EnemyEclInstr::MathAtan2,0x40b7d0,function
D3DXVec3Length,0x40b890,function
th06::EnemyEclInstr::ExInsCirnoRainbowBallJank,0x40b8e0,function
th06::EnemyEclInstr::ExInsShootAtRandomArea,0x40ba80,function
th06::EnemyEclInstr::ExInsShootStarPattern,0x40bb80,function
th06::EnemyEclInstr::ExInsPatchouliShottypeSetVars,0x40c100,function
th06::EnemyEclInstr::ExInsStage56Func4,0x40c180,function
th06::EnemyEclInstr::ExInsStage5Func5,0x40c5b0,function
th06::EnemyEclInstr::ExInsBatWingEffect,0x40caf0,function
th06::EnemyEclInstr::ExInsStage6Func7,0x40d040,function
th06::EnemyEclInstr::ExInsStage6Func8,0x40d400,function
th06::EnemyEclInstr::ExInsStage6Func9,0x40d530,function
th06::EnemyEclInstr::ExInsStage6Func11,0x40d770,function
th06::EnemyEclInstr::ExInsHandleBatTransformation,0x40d930,function
th06::EnemyEclInstr::ExInsStage4Func12,0x40daa0,function
th06::EnemyEclInstr::ExInsStageXFunc13,0x40dbc0,function
th06::EnemyEclInstr::ExInsStageXFunc14,0x40dcc0,function
th06::EnemyEclInstr::ExInsStageXFunc15,0x40de00,function
th06::EnemyEclInstr::ExInsFlandreFinalContextUpdate,0x40e1b0,function
th06::EffectManager::EffectManager,0x40e2d0,function
th06::EffectManager::Reset,0x40e340,function
th06::EffectManager::EffectCallbackRandomSplash,0x40e360,function
th06::EffectManager::EffectCallbackRandomSplashBig,0x40e5b0,function
th06::EffectManager::EffectCallbackStill,0x40e810,function
th06::EffectManager::EffectUpdateCallback4,0x40e920,function
th06::EffectManager::EffectCallbackAttract,0x40ec10,function
th06::EffectManager::EffectCallbackAttractSlow,0x40edb0,function
th06::EffectManager::SpawnParticles,0x40ef50,function
th06::EffectManager::OnUpdate,0x40f100,function
th06::EffectManager::OnDraw,0x40f1f0,function
th06::EffectManager::AddedCallback,0x40f280,function
th06::EffectManager::DeletedCallback,0x40f3d0,function
th06::EffectManager::RegisterChain,0x40f3f0,function
th06::EffectManager::CutChain,0x40f4a0,function
th06::Ending::ReadEndFileParameter,0x40f4d0,function
th06::Ending::FadingEffect,0x40f550,function
th06::Ending::ParseEndFile,0x40f7c0,function
th06::Ending::LoadEnding,0x4106d0,function
th06::Ending::RegisterChain,0x4107b0,function
th06::Ending::Ending,0x4108b0,function
th06::Ending::OnUpdate,0x4109c0,function
th06::Ending::OnDraw,0x410a70,function
th06::Ending::AddedCallback,0x410b10,function
th06::Ending::DeletedCallback,0x410d80,function
th06::EnemyManager::Initialize,0x410e30,function
th06::EnemyManager::EnemyManager,0x411190,function
th06::Enemy::Enemy,0x411240,function
th06::EnemyManager::SpawnEnemy,0x411390,function
th06::Enemy::ResetEffectArray,0x4114c0,function
th06::EnemyManager::RunEclTimeline,0x411530,function
th06::Enemy::HandleLifeCallback,0x411da0,function
th06::Enemy::HandleTimerCallback,0x411f40,function
th06::Enemy::Despawn,0x4121b0,function
th06::Enemy::ClampPos,0x412240,function
th06::EnemyManager::RegisterChain,0x412320,function
th06::EnemyManager::OnUpdate,0x4123e0,function
th06::Enemy::UpdateEffects,0x412e50,function
th06::EnemyManager::OnDraw,0x412f10,function
th06::EnemyManager::AddedCallback,0x413220,function
th06::EnemyManager::DeletedCallback,0x413320,function
th06::EnemyManager::CutChain,0x413350,function
th06::Enemy::Move,0x413380,function
th06::BulletManager::InitializeToZero,0x413430,function
th06::BulletManager::BulletManager,0x413450,function
th06::BulletTypeSprites::BulletTypeSprites,0x413560,function
th06::BulletManager::SpawnSingleBullet,0x4135b0,function
th06::BulletManager::RemoveAllBullets,0x414160,function
th06::BulletManager::TurnAllBulletsIntoPoints,0x414340,function
th06::BulletManager::DespawnBullets,0x414360,function
th06::BulletManager::SpawnBulletPattern,0x4145c0,function
th06::BulletManager::SpawnLaserPattern,0x414670,function
th06::BulletManager::RegisterChain,0x4148f0,function
th06::BulletManager::OnUpdate,0x4149d0,function
