name,address,type,size
_c_rgodfDIJoy2,0x43d160,global,2624
_c_rgodfDIKeyboard,0x43dba0,global,4096
DirectSoundCreate8,0x46a008,global,4
FLOAT_MINUS_ONE,0x46a7b4,global,4
Rin_Saetsuki_(wind),0x46bb40,global,13
Rin_Saezuki_(flower),0x46bb50,global,13
Kirisame_Marisa_(Love),0x46bb60,global,17
Kirisame_Marisa_(Devil),0x46bb74,global,17
Hakurei_Reimu_(Dream),0x46bb88,global,15
Hakurei_Reimu_(Spirit),0x46bb98,global,15
g_TextureFormatD3D8Mapping,0x46c220,global,24
IPBG3PARSER_VTBL,0x46cb7c,global,32
PBG3PARSER_VTBL,0x46cb9c,global,32
c_dfDIJoystick2,0x46cdfc,global,24
c_dfDIKeyboard,0x46d004,global,24
GUID_SysKeyboard,0x46fe20,global,16
IID_IDirectInput8A,0x46fec0,global,16
INIT_ARRAY,0x476000,global,164
g_StageFiles,0x4760e0,global,64
StageBgAnmStd,0x4760e0,global,64
g_SpellcardScore,0x476120,global,256
g_EclExInsn,0x476220,global,4
g_PatchouliShottypeVars,0x476264,global,48
g_Effects,0x476298,global,160
g_RandomItems,0x476338,global,32
g_BulletColorWithTextureBlending,0x476358,global,112
g_BulletColorWithoutTextureBlending,0x4763c8,global,112
g_BulletColor,0x476438,global,4
g_BulletSpriteOffset16Px,0x476440,global,64
g_BulletSpriteOffset32Px,0x476480,global,32
g_ExtraLivesScores,0x4764b0,global,20
g_EclFiles,0x4764c4,global,36
g_AnmStageFiles,0x4764e8,global,64
g_DifficultyInfoForReplay,0x476528,global,60
g_DifficultyInfo,0x476564,global,60
g_ControllerMapping,0x4765a0,global,18
th06::TextHelper::g_FormatInfoArray,0x4765b8,global,168
g_PowerItemScore,0x476660,global,124
g_PowerUpThresholds,0x4766dc,global,44
g_BombData,0x476708,global,32
g_CharData,0x476728,global,120
CharacterPowerDataReimuA,0x476f78,global,108
CharacterPowerDataReimuB,0x477770,global,108
CharacterPowerDataMarisaA,0x477ed8,global,108
CharacterPowerDataMarisaB,0x478468,global,108
g_AlphabetList,0x4784d4,global,4
g_CharacterList,0x4784d8,global,4
SOUND_BUFFER_IDX_VOL,0x478528,global,256
g_SFXList,0x478628,global,104
g_LastJoystickInput,0x478690,global,2
g_stageList,0x478694,global,28
g_shortCharacterList,0x4786b0,global,16
g_difficultyList,0x4786c0,global,20
__security_cookie,0x47a630,global,4
g_AsciiManagerOnDrawMenusChain,0x47b8e0,global,32
g_AsciiManager,0x47b900,global,49580
g_AsciiManagerCalcChain,0x487aac,global,32
g_AsciiManagerOnDrawHighPrioChain,0x487acc,global,32
g_StageOnDrawHighPrioChain,0x487af0,global,32
g_Stage,0x487b10,global,756
g_StageOnDrawLowPrioChain,0x487e04,global,32
g_StageCalcChain,0x487e24,global,32
g_PlayerShot,0x487e44,global,4
g_PlayerDistance,0x487e48,global,4
g_PlayerAngle,0x487e4c,global,4
g_EclManager,0x487e50,global,12
g_StarAngleTable,0x487edc,global,24
g_EnemyPosition,0x487f5c,global,12
g_PlayerPosition,0x487f68,global,12
g_UnknownUnusedChainElem,0x487fbc,global,32
g_EffectManager,0x487fe0,global,194948
g_EffectManagerCalcChain,0x4b7964,global,32
g_EffectManagerOnDrawChain,0x4b7984,global,32
g_EnemyManagerDrawChain,0x4b79a8,global,32
g_EnemyManager,0x4b79c8,global,976364
g_EnemyManagerCalcChain,0x5a5fb4,global,32
g_BulletManagerDrawChain,0x5a5fd8,global,32
g_BulletManager,0x5a5ff8,global,1006616
g_BulletManagerCalcChain,0x69bc10,global,32
g_Gui,0x69bc30,global,44
g_GuiDrawChain,0x69bc5c,global,32
g_GuiCalcChain,0x69bc7c,global,32
g_GameManager,0x69bca0,global,6784
g_GameManagerCalcChain,0x69d720,global,32
g_GameManagerDrawChain,0x69d740,global,32
g_JoystickCaps,0x69d760,global,404
g_FocusButtonConflictState,0x69d8f4,global,2
g_Rng,0x69d8f8,global,8
g_Pbg3Archives,0x69d900,global,4
g_CurFrameInput,0x69d904,global,2
g_LastFrameInput,0x69d908,global,2
g_IsEigthFrameOfHeldInput,0x69d90c,global,2
g_NumOfFramesInputsWereHeld,0x69d910,global,2
g_LastFileSize,0x69d914,global,4
g_Chain,0x69d918,global,72
g_GameErrorContext,0x69d998,global,2053
g_CMyFont,0x69e1a0,global,8
g_ControllerData,0x69e1b0,global,128
g_TextBufferSurface,0x69e230,global,4
g_ItemSize,0x69e234,global,12
g_ItemManager,0x69e268,global,166220
g_GameWindow,0x6c6bd4,global,32
g_TickCountToEffectiveFramerate,0x6c6bf4,global,4
g_LastFrameTime,0x6c6bf8,global,8
g_ExclusiveMutex,0x6c6c00,global,4
g_FpsCounterBuffer,0x6c6c08,global,256
g_NumFramesSinceLastTime,0x6c6d08,global,4
g_LastTime,0x6c6d0c,global,4
g_LastTimeIsSet,0x6c6d10,global,4
g_Supervisor,0x6c6d18,global,1240
g_MusicRoom,0x6c71f0,global,13364
MRHasConstructed,0x6ca624,global,4
g_ReplayManager,0x6d3f18,global,4
g_SoundPlayer,0x6d3f50,global,1592
g_AnmManager,0x6d4588,global,4
th06::AnmManager::g_PrimitivesToDrawNoVertexBuf,0x6d4590,global,112
th06::AnmManager::g_PrimitivesToDrawVertexBuf,0x6d4600,global,96
th06::AnmManager::g_PrimitivesToDrawUnknown,0x6d4660,global,96
g_MainMenu,0x6d46c0,global,69428
g_Locale,0x6e6650,global,4
g_CodePage,0x6e6764,global,4
