address,type,x-text
0x46a280,string,"data/capture.anm"
0x46a294,string,"data/asciis.anm"
0x46a2a4,string,"data/ascii.anm"
0x46a2d4,string,"data/stg7bg.anm"
0x46a2e4,string,"data/stage6.std"
0x46a2f4,string,"data/stg6bg.anm"
0x46a304,string,"data/stage5.std"
0x46a314,string,"data/stg5bg.anm"
0x46a324,string,"data/stage4.std"
0x46a334,string,"data/stg4bg.anm"
0x46a344,string,"data/stage3.std"
0x46a354,string,"data/stg3bg.anm"
0x46a364,string,"data/stage2.std"
0x46a374,string,"data/stg2bg.anm"
0x46a384,string,"data/stage1.std"
0x46a394,string,"data/stg1bg.anm"
0x46a3a4,string,"dummy"
0x46a3ac,string,"ステージデータが見つかりません。データが壊れています\n"
0x46a480,string,"敵データの読み込みに失敗しました、データが壊れてるか失われています\n"
0x46a500,string,"error : no Stack Ret\n"
0x46a5a4,string,"data/eff04.anm"
0x46a5b4,string,"data/eff03.anm"
0x46a5c4,string,"data/eff02.anm"
0x46a5d4,string,"data/eff01.anm"
0x46a5e8,string,"error : エンディングファイルが読み込めない、ファイルが破壊されています\n"
0x46a630,string,"data/end11.end"
0x46a640,string,"data/end10.end"
0x46a650,string,"data/end01.end"
0x46a660,string,"data/end00.end"
0x46a670,string,"data/end10b.end"
0x46a680,string,"data/end00b.end"
0x46a690,string,"data/staff03.anm"
0x46a6a4,string,"data/staff02.anm"
0x46a6b8,string,"data/staff01.anm"
0x46a7dc,string,"data/etama3.anm"
0x46a7f8,string,"Spell Card Bonus!"
0x46a828,string,"BONUS %8d"
0x46a834,string,"Total     = %8d"
0x46a844,string,"Player Penalty * 0.2\n"
0x46a85c,string,"Player Penalty * 0.5\n"
0x46a874,string,"Extra Rank     * 2.0\n"
0x46a88c,string,"Lunatic Rank   * 1.5\n"
0x46a8a4,string,"Hard Rank      * 1.2\n"
0x46a8bc,string,"Normal Rank    * 1.0\n"
0x46a8d4,string,"Easy Rank      * 0.5\n"
0x46a8ec,string,"Bomb      = %8d\n"
0x46a900,string,"Player    = %8d\n"
0x46a914,string,"    * Point Item %3d\n"
0x46a92c,string,"Graze *   10 = %5d\n"
0x46a940,string,"Power *  100 = %5d\n"
0x46a954,string,"Stage * 1000 = %5d\n"
0x46a968,string,"All Clear!\n\n"
0x46a978,string,"Stage Clear\n\n"
0x46a994,string,"data/msg7.dat"
0x46a9a4,string,"data/face12b.anm"
0x46a9b8,string,"data/face12a.anm"
0x46a9cc,string,"data/msg6.dat"
0x46a9dc,string,"data/face10b.anm"
0x46a9f0,string,"data/face10a.anm"
0x46aa04,string,"data/msg5.dat"
0x46aa14,string,"data/face09b.anm"
0x46aa28,string,"data/face09a.anm"
0x46aa3c,string,"data/msg4.dat"
0x46aa4c,string,"data/face08b.anm"
0x46aa60,string,"data/face08a.anm"
0x46aa74,string,"data/msg3.dat"
0x46aa84,string,"data/face06b.anm"
0x46aa98,string,"data/face06a.anm"
0x46aaac,string,"data/msg2.dat"
0x46aabc,string,"data/face05a.anm"
0x46aad0,string,"data/msg1.dat"
0x46aae0,string,"data/face03b.anm"
0x46aaf4,string,"data/face03a.anm"
0x46ab08,string,"data/face01c.anm"
0x46ab1c,string,"data/face01b.anm"
0x46ab30,string,"data/face01a.anm"
0x46ab44,string,"data/face00c.anm"
0x46ab58,string,"data/face00b.anm"
0x46ab6c,string,"data/face00a.anm"
0x46ab80,string,"data/loading.anm"
0x46ab94,string,"data/front.anm"
0x46aba4,string,"error : メッセージファイル %s が読み込めませんでした\n"
0x46abdc,string,"data/face12c.anm"
0x46abf0,string,"data/eff07.anm"
0x46ac00,string,"data/eff06.anm"
0x46ac88,string,"EXTRA STAGE"
0x46ac94,string,"FINAL STAGE"
0x46accc,string,"data/ecldata6.ecl"
0x46ace0,string,"data/ecldata5.ecl"
0x46acf4,string,"data/ecldata4.ecl"
0x46ad08,string,"data/ecldata3.ecl"
0x46ad1c,string,"data/ecldata2.ecl"
0x46ad30,string,"data/ecldata1.ecl"
0x46ad44,string,"data/stg7enm2.anm"
0x46ad58,string,"data/stg7enm.anm"
0x46ad6c,string,"data/stg6enm2.anm"
0x46ad80,string,"data/stg6enm.anm"
0x46ad94,string,"data/stg5enm2.anm"
0x46ada8,string,"data/stg5enm.anm"
0x46adbc,string,"data/stg4enm.anm"
0x46add0,string,"data/stg3enm.anm"
0x46ade4,string,"data/stg2enm2.anm"
0x46adf8,string,"data/stg2enm.anm"
0x46ae0c,string,"data/stg1enm2.anm"
0x46ae20,string,"data/stg1enm.anm"
0x46ae34,string,"replay/th6_00.rpy"
0x46ae48,string,"error : 2D表示の初期化に失敗しました\n"
0x46ae70,string,"error : エフェクトの初期化に失敗しました\n"
